Sugu,Aasta,Kokku,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
Mehed ja naised,1923,1107130,88334,83782,110407,108627,99888,84283,80049,74859,68924,67236,56528,53534,47608,34818,24367,13265,7342,3279
Mehed ja naised,1924,1114498,91598,79959,108022,109082,100927,87540,78685,76864,69152,67290,58788,52628,48562,36342,24578,13823,7293,3365
Mehed ja naised,1925,1116730,95096,74070,106160,108573,102569,89495,78301,76992,69789,66338,62009,50461,49604,37066,25263,14201,7482,3261
Mehed ja naised,1926,1117270,96643,73311,99322,109380,102989,91233,78977,76314,70460,65981,62700,50975,48976,38488,25753,15009,7277,3482
Mehed ja naised,1927,1116343,94655,77925,91405,107832,103936,92724,80205,75914,71633,65151,63383,51087,49177,38783,26685,15433,7115,3300
Mehed ja naised,1928,1114941,93252,82914,81432,106864,103904,94853,80737,76669,71690,65432,63049,52428,48192,40078,26800,16113,6961,3573
Mehed ja naised,1929,1116553,91358,86437,77027,104838,103692,95959,83372,75042,73242,65600,62712,54524,46970,40986,27778,16298,7239,3479
Mehed ja naised,1930,1114748,89639,90180,71260,102830,103574,97440,85195,74677,73303,66027,61865,57268,44960,41577,28068,16366,7246,3273
Mehed ja naised,1931,1117445,89311,91794,71015,96747,104269,98084,87100,75394,72794,67017,61593,57772,45813,41363,29459,16795,7803,3322
Mehed ja naised,1932,1119339,89354,90425,76295,88940,103342,99045,88977,76420,72767,68128,61216,58275,46028,41580,29926,17306,8109,3206
Mehed ja naised,1933,1123734,89032,89761,82767,79659,103127,99498,91019,77559,73459,68680,61652,58310,47342,41325,31096,17615,8520,3313
Mehed ja naised,1934,1124769,86527,88605,86719,75084,101929,99160,92621,79928,71896,70091,61978,57814,49539,40072,32307,18262,8786,3451
Mehed ja naised,1935,1127928,84658,87524,90590,69803,100223,100032,94496,82103,71846,70488,62637,57454,52163,38689,33260,19098,9177,3687
Mehed ja naised,1936,1129804,83528,86550,92127,70122,94806,100874,95426,84306,72572,70085,63869,57284,52474,39468,33049,20141,9303,3820
Mehed ja naised,1937,1130143,82470,86207,90433,75513,87078,100470,96539,86406,73553,70138,64825,57084,52864,39596,33203,20537,9402,3825
Mehed ja naised,1938,1131161,81910,85008,89058,81956,77954,100526,97121,88385,74804,70622,65325,57382,52856,40528,32892,21426,9542,3866
Mehed ja naised,1939,1133917,82955,82879,87566,85690,73594,99716,97112,90326,77352,69175,66792,57812,52455,42620,31520,22513,9886,3954
Mehed ja naised,1950,1022906,84560,75608,83007,76684,79526,72523,54748,77724,76084,73369,61426,53933,48330,39681,30039,20826,9659,5179
Mehed ja naised,1951,1049831,89095,73842,85532,78261,87029,78243,56541,74281,78069,72655,64665,54638,49376,40608,30540,20992,10188,5276
Mehed ja naised,1952,1073439,90876,72901,87893,81565,90631,84535,60953,70295,77455,74886,65998,55687,49905,42038,30623,21433,10381,5384
Mehed ja naised,1953,1092763,92398,75374,85419,85019,93914,88647,68612,63860,78540,74518,68886,56024,51135,42014,31182,21298,10653,5270
Mehed ja naised,1954,1120213,93234,81234,81311,90695,95226,95215,74191,62230,78699,74842,70579,58125,51346,43240,32147,21385,11292,5222
Mehed ja naised,1955,1137640,94530,86390,77994,93601,94712,98861,80406,59098,78288,75018,72141,59980,51546,43674,32836,21422,11956,5187
Mehed ja naised,1956,1150791,95730,90239,75784,93769,92519,103064,84575,59993,74673,76950,71203,62805,52007,44465,33528,21885,12155,5447
Mehed ja naised,1957,1165009,96053,91792,74630,94746,92986,104045,89667,63532,70611,76373,73438,63938,53015,44997,34889,22003,12538,5756
Mehed ja naised,1958,1178717,95481,93557,76874,91168,95250,105390,93164,70743,64182,77503,73044,66750,53186,46263,34970,22677,12568,5947
Mehed ja naised,1959,1191428,95384,93576,82177,85797,98198,102621,97889,75268,62085,77531,73150,68150,54889,46264,36057,23518,12588,6246
Mehed ja naised,1960,1206362,95456,94208,86486,83572,99090,101007,101301,81283,58981,77355,73676,69825,57011,46612,36681,24308,12699,6650
Mehed ja naised,1961,1216712,95663,95331,89390,80558,98860,98617,105010,85265,59515,74001,75676,69172,59628,47187,37411,24956,13280,6910
Mehed ja naised,1962,1233441,97680,95697,91000,78219,100759,99466,106734,90414,63334,70006,75339,71308,60745,48134,37763,26082,13323,7051
Mehed ja naised,1963,1249804,99512,96026,93024,79451,98914,100968,107951,94683,70335,63463,76320,71213,63289,48511,38794,26037,13818,6994
Mehed ja naised,1964,1267910,99755,97679,93488,85362,94623,104238,105763,99584,75115,61324,76543,71487,64748,50133,38875,26888,14457,7226
Mehed ja naised,1965,1286262,99871,98758,94911,90942,89850,108387,104201,103354,81184,58270,76420,71955,66219,51825,39201,27496,14982,7694
Mehed ja naised,1966,1302870,98574,99703,97138,96471,87798,109351,102395,107589,86236,58751,73337,73620,65956,53793,39756,28022,15444,8081
Mehed ja naised,1967,1314323,96850,101342,97661,99428,83872,110860,102310,109202,90928,63021,68939,73487,67529,54994,40377,28329,16067,8164
Mehed ja naised,1968,1323569,95336,102268,98102,100886,84855,106961,102951,109043,95830,69880,62668,74089,67737,57157,40863,29129,16269,8464
Mehed ja naised,1969,1338858,95996,102217,99958,100942,91326,101350,106384,106580,100286,74625,60616,74363,67738,58451,42151,29153,16738,8789
Mehed ja naised,1970,1351640,96054,101988,100251,100679,99889,95046,110367,103997,103713,80588,57387,74316,68222,59471,43440,29110,16939,8880
Mehed ja naised,1971,1368511,99256,100868,100757,101321,106678,91201,112212,102304,107578,85957,57434,71522,69508,59662,44939,29756,17236,9117
